date,github_downloads,store_acquisitions
2026-06-17,956,1148
2026-06-18,966,1147
2026-06-19,980,1185
2026-06-20,987,1214
2026-06-21,1001,1242
2026-06-22,1016,1268
2026-06-23,1030,1284
2026-06-24,1054,1311
2026-06-25,1061,1344
2026-06-26,1064,1378
2026-06-27,1076,1416
2026-06-28,1083,1442
2026-06-29,1099,1475
2026-06-30,1112,1494
2026-07-01,1116,1514
2026-07-02,1123,1538
2026-07-03,1138,1554
2026-07-04,1156,1572
2026-07-05,1171,1592
2026-07-06,1190,1633
2026-07-07,1195,1641
2026-07-08,1219,1661
2026-07-09,1223,1681
2026-07-10,1240,1696
2026-07-11,1257,1716
2026-07-12,1268,1732
2026-07-13,1287,1748
2026-07-14,1294,1758
2026-07-15,1308,1772
2026-07-16,1316,1790
2026-07-17,1318,1806
2026-07-18,1331,1827
2026-07-19,1338,1847
2026-07-20,1354,1861
2026-07-21,1367,1880
2026-07-22,1379,1903
2026-07-23,1388,1921
2026-07-24,1396,1941
2026-07-25,1404,1960
2026-07-26,1412,1973
